region,trending_date,category_title,videos_count
France,2018-04-03,Comedy,32
France,2018-04-04,Comedy,54
France,2018-04-05,Comedy,52
France,2018-04-06,Comedy,46
France,2018-04-07,Comedy,56
France,2018-04-14,Comedy,32
France,2018-04-15,Comedy,40
France,2018-04-16,Comedy,42
France,2018-04-17,Comedy,38
France,2018-04-18,Comedy,38
France,2018-04-19,Comedy,36
France,2018-04-20,Comedy,36
France,2018-04-21,Comedy,40
France,2018-04-22,Comedy,46
France,2018-04-23,Comedy,46
France,2018-04-24,Comedy,34
France,2018-04-25,Comedy,32
France,2018-04-26,Comedy,44
France,2018-04-27,Comedy,52
France,2018-04-28,Comedy,58
France,2018-04-29,Comedy,42
France,2018-04-30,Comedy,34
France,2018-05-01,Comedy,26
France,2018-05-02,Comedy,38
France,2018-05-03,Comedy,38
France,2018-05-04,Comedy,32
France,2018-05-05,Comedy,38
France,2018-05-06,Comedy,40
France,2018-05-07,Comedy,54
France,2018-05-08,Comedy,52
France,2018-05-09,Comedy,42
France,2018-05-10,Comedy,34
France,2018-05-11,Comedy,30
France,2018-05-12,Comedy,36
France,2018-05-13,Comedy,32
France,2018-05-14,Comedy,20
France,2018-05-15,Comedy,34
France,2018-05-16,Comedy,28
France,2018-05-17,Comedy,32
France,2018-05-18,Comedy,36
France,2018-05-19,Comedy,34
France,2018-05-20,Comedy,32
France,2018-05-21,Comedy,42
France,2018-05-22,Comedy,48
France,2018-05-23,Comedy,44
France,2018-05-24,Comedy,34
France,2018-05-25,Comedy,38
France,2018-05-26,Comedy,38
France,2018-05-27,Comedy,40
France,2018-05-28,Comedy,56
France,2018-05-29,Comedy,48
France,2018-05-30,Comedy,36
France,2018-05-31,Comedy,50
France,2018-06-01,Comedy,38
France,2018-06-02,Comedy,36
France,2018-06-03,Comedy,24
France,2018-06-04,Comedy,40
France,2018-06-05,Comedy,40
France,2018-06-06,Comedy,28
France,2018-06-07,Comedy,38
France,2018-06-08,Comedy,34
France,2018-06-09,Comedy,40
France,2018-06-10,Comedy,30
France,2018-06-11,Comedy,40
France,2018-06-12,Comedy,52
France,2018-06-13,Comedy,48
France,2018-06-14,Comedy,36
France,2017-11-14,Education,12
France,2017-11-15,Education,4
France,2017-11-16,Education,8
France,2017-11-17,Education,8
France,2017-11-18,Education,2
France,2017-11-19,Education,8
France,2017-11-20,Education,4
France,2017-11-21,Education,10
France,2017-11-22,Education,12
France,2017-11-23,Education,10
France,2017-11-24,Education,8
France,2017-11-25,Education,10
France,2017-11-26,Education,6
France,2017-11-27,Education,8
France,2017-11-28,Education,4
France,2017-11-29,Education,10
France,2017-11-30,Education,6
France,2017-12-01,Education,12
France,2017-12-02,Education,14
France,2017-12-03,Education,6
France,2017-12-04,Education,18
France,2017-12-05,Education,6
France,2017-12-06,Education,6
France,2017-12-07,Education,6
France,2017-12-08,Education,8
France,2017-12-09,Education,8
France,2017-12-10,Education,8
France,2017-12-11,Education,4
France,2017-12-12,Education,4
France,2017-12-13,Education,4
France,2017-12-14,Education,8
France,2017-12-15,Education,12
